time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Precipitation,CloudCover,Temperature,Snowfall,Wind
2007-01-01 00:00:00,2.5370166666666663,0.09221666666666667,241.2289166666666,10.486666666666675,0.0,0.2916666666666667,0.0,1.3298458e-07,0.9996948,286.43298,0.0,9.663516
2007-01-01 02:00:00,2.562,0.09838333333333336,243.23291666666665,10.470000000000002,0.0,0.3,0.0,2.3537211e-07,0.5562744,285.98602,0.0,8.988889
2007-01-01 04:00:00,2.4759833333333336,0.09491666666666668,242.4024166666666,10.13,0.0,0.2916666666666667,0.0,3.7087335e-09,0.16445923,284.50214,0.0,6.604268
2007-01-01 06:00:00,2.451499999999999,0.09649999999999996,240.768,10.11166666666667,0.0,0.275,0.0,0.0,0.19714355,283.30905,0.0,7.4860625
2007-01-01 08:00:00,2.793933333333334,0.07285000000000003,240.46099999999996,11.55,0.0,0.025,6.0166666666666675,2.053049e-08,0.17279053,282.31317,0.0,8.07111
2007-01-01 10:00:00,2.618866666666668,0.09071666666666664,237.87483333333336,10.948333333333318,0.0,0.2916666666666667,1.2416666666666667,1.0199017e-08,0.22470093,,0.0,7.210626
2007-01-01 12:00:00,2.3891333333333336,0.09403333333333336,238.21374999999992,9.98666666666667,0.0,0.2833333333333333,0.0,0.0,0.41714478,283.35266,0.0,7.8693676
2007-01-01 14:00:00,1.601783333333333,0.1760500000000001,239.78591666666668,6.770000000000002,0.0,0.2916666666666667,13.266666666666667,0.0,0.48776245,282.97983,0.0,5.3672047
2007-01-01 16:00:00,1.5110833333333331,0.12006666666666667,238.43191666666664,6.290000000000003,0.0,0.2916666666666667,17.416666666666668,0.0,0.09967041,281.69583,0.0,4.332927
2007-01-01 18:00:00,1.0971,0.09818333333333333,238.0471666666666,4.563333333333326,0.0,0.2333333333333333,11.058333333333335,1.08348e-07,0.19042969,280.64606,0.0,5.040624
2007-01-01 20:00:00,0.4231166666666664,0.08586666666666669,238.625,1.773333333333335,0.0,0.05833333333333333,0.0,5.581644e-07,1.0,279.2231,0.0,5.313888
2007-01-01 22:00:00,0.4468500000000001,0.11493333333333335,242.47591666666668,1.9233333333333316,0.0,0.3,0.0,8.238686e-08,0.4126587,280.09753,0.0,8.77126
2007-01-02 00:00:00,0.29884999999999995,0.09511666666666664,242.21050000000002,1.2933333333333326,0.0,0.3083333333333333,0.0,1.3377932e-08,0.41534424,279.7602,0.0,8.0257225
