Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-ons Purchased,Add-on Total
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,2024-03-20,Standard,"Accessory,Accessory,Accessory",40.21
1000,53,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,2024-04-20,Overnight,Impulse Item,26.09
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-10-17,Express,,0
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,2024-08-09,Overnight,"Impulse Item,Impulse Item",60.16
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-21,Express,Accessory,35.56
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83,20.75,4,2024-05-26,Standard,"Impulse Item,Accessory",65.78
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,2024-01-30,Overnight,,0
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2024-06-24,Overnight,"Extended Warranty,Extended Warranty",75.33
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,2023-10-03,Standard,Impulse Item,43.05
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2024-01-01,Express,,0
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,2470.3,247.03,10,2024-06-25,Overnight,"Impulse Item,Accessory,Impulse Item",90.38
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,2023-11-07,Overnight,"Accessory,Extended Warranty",55.48
1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,2023-09-25,Express,"Extended Warranty,Impulse Item,Extended Warranty",65.85
1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,2024-07-07,Standard,"Accessory,Accessory,Accessory",70.17
1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,5538.33,791.19,7,2024-03-18,Overnight,"Accessory,Impulse Item,Accessory",57.81
1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,2024-01-02,Standard,"Extended Warranty,Extended Warranty",69.31
1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,2024-05-18,Standard,Accessory,8.3
1015,22,Male,No,Smartphone,SKU1001,5,Completed,Paypal,83,20.75,4,2024-09-02,Standard,"Accessory,Accessory,Accessory",80
1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,Paypal,103.75,20.75,5,2024-07-07,Overnight,,0
1018,34,Male,No,Smartphone,SKU1001,5,Completed,Paypal,124.5,20.75,6,2024-07-23,Express,"Impulse Item,Extended Warranty",70.39
1019,45,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83,20.75,4,2024-03-14,Express,,0
1019,45,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,2024-04-20,Express,"Impulse Item,Impulse Item",37.87
1019,45,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Paypal,844.83,844.83,1,2024-07-21,Express,Accessory,49.17
1020,57,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,3379.32,844.83,4,2023-12-02,Express,"Impulse Item,Accessory,Extended Warranty",37.13
1021,71,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,2024-03-20,Overnight,"Accessory,Extended Warranty",49.54
1022,76,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,6758.64,844.83,8,2024-04-27,Overnight,"Impulse Item,Accessory,Impulse Item",73.49
1024,49,Female,No,Smartphone,SKU1004,2,Completed,Cash,1582.38,791.19,2,2024-07-10,Overnight,"Extended Warranty,Impulse Item",51.93
1025,77,Male,No,Laptop,SKU1005,3,Completed,Debit Card,2783.76,463.96,6,2024-01-29,Overnight,,0
1025,77,Male,No,Smartphone,SKU1001,5,Completed,Cash,83,20.75,4,2024-08-28,Express,"Extended Warranty,Extended Warranty",77.78
1027,22,Male,No,Smartphone,SKU1004,2,Completed,Paypal,4747.14,791.19,6,2023-11-28,Overnight,,0
1028,79,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,2023-11-30,Overnight,,0
1030,69,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,4224.15,844.83,5,2024-02-27,Express,"Accessory,Impulse Item,Accessory",46.03
1031,20,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,2024-01-21,Express,,0
1031,20,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,103.75,20.75,5,2024-09-03,Overnight,"Accessory,Accessory",17.79
1033,54,Female,No,Tablet,SKU1002,3,Completed,Debit Card,988.12,247.03,4,2023-11-30,Overnight,,0
1033,54,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,3164.76,791.19,4,2024-01-12,Standard,"Accessory,Accessory",49.24
1035,32,Female,No,Smartphone,SKU1001,5,Completed,Cash,186.75,20.75,9,2023-09-24,Standard,,0
1035,32,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,62.25,20.75,3,2024-03-25,Standard,"Accessory,Accessory",33.56
1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,Debit Card,3955.95,791.19,5,2023-10-12,Standard,"Extended Warranty,Impulse Item",56.62
1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,Paypal,791.19,791.19,1,2024-01-28,Express,,0
1038,56,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,4224.15,844.83,5,2024-07-08,Overnight,Extended Warranty,10
1038,56,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,5068.98,844.83,6,2024-07-29,Standard,,0
1038,56,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,145.25,20.75,7,2024-08-17,Express,"Accessory,Extended Warranty",47.94
1038,56,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,2024-09-23,Overnight,"Extended Warranty,Accessory",26.01
1039,53,Female,No,Tablet,SKU1002,3,Completed,Credit Card,1729.21,247.03,7,2024-08-31,Standard,,0
1040,45,Female,Yes,Smartphone,SKU1004,2,Completed,Credit Card,6329.52,791.19,8,2023-10-16,Standard,"Accessory,Extended Warranty,Extended Warranty",92.79
1042,65,Female,No,Smartphone,SKU1001,5,Cancelled,Credit Card,145.25,20.75,7,2024-06-26,Overnight,"Impulse Item,Impulse Item",53.02
1042,65,Female,No,Smartwatch,SKU1003,3,Completed,Cash,5913.81,844.83,7,2024-07-16,Overnight,"Impulse Item,Accessory,Extended Warranty",111.25
1043,76,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,207.5,20.75,10,2024-03-05,Overnight,,0
1047,73,Male,No,Tablet,SKU1002,3,Completed,Debit Card,2470.3,247.03,10,2023-12-11,Express,"Accessory,Impulse Item",63.23
1048,67,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,2470.3,247.03,10,2023-10-28,Express,,0
1049,50,Female,No,Smartphone,SKU1001,5,Completed,Paypal,145.25,20.75,7,2024-06-25,Standard,"Accessory,Impulse Item,Accessory",86.36
1052,72,Male,No,Smartwatch,SKU1003,3,Cancelled,Cash,5068.98,844.83,6,2024-08-03,Standard,Accessory,45.46
1053,79,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2023-12-20,Standard,"Impulse Item,Impulse Item,Accessory",88.3
1054,30,Female,Yes,Smartphone,SKU1001,5,Completed,Paypal,62.25,20.75,3,2024-05-08,Standard,"Impulse Item,Extended Warranty,Impulse Item",79.9
1056,24,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2024-04-27,Overnight,"Accessory,Extended Warranty",41.24
1057,71,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,7603.47,844.83,9,2023-10-22,Express,,0
1057,71,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,1482.18,247.03,6,2024-03-28,Express,"Extended Warranty,Accessory,Impulse Item",116.77
1058,21,Female,No,Smartphone,SKU1001,5,Completed,Paypal,166,20.75,8,2024-06-12,Overnight,"Impulse Item,Accessory,Accessory",92.57
1058,21,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,3955.95,791.19,5,2024-07-08,Express,,0
1059,37,Male,No,Laptop,SKU1005,3,Completed,Paypal,3247.72,463.96,7,2024-02-22,Overnight,"Extended Warranty,Extended Warranty",66.17
1059,37,Male,No,Laptop,SKU1005,3,Completed,Debit Card,463.96,463.96,1,2024-06-27,Express,Extended Warranty,5.52
1060,72,Male,Yes,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-09-28,Standard,"Accessory,Impulse Item,Extended Warranty",52.01
1060,72,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,1482.18,247.03,6,2023-12-07,Overnight,Impulse Item,31.89
1060,72,Male,No,Smartphone,SKU1004,2,Completed,Paypal,1582.38,791.19,2,2024-01-29,Overnight,Impulse Item,49.59
1061,56,Male,Yes,Tablet,SKU1002,3,Completed,Cash,1976.24,247.03,8,2023-10-25,Standard,Impulse Item,14.49
1061,56,Male,No,Laptop,SKU1005,3,Completed,Paypal,463.96,463.96,1,2024-05-21,Express,"Impulse Item,Accessory",83.41
1062,62,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,6329.52,791.19,8,2024-03-23,Standard,"Impulse Item,Extended Warranty",26.24
1063,64,Male,Yes,Laptop,SKU1005,3,Completed,Paypal,1855.84,463.96,4,2024-04-25,Standard,,0
1063,64,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,2373.57,791.19,3,2024-07-08,Express,Extended Warranty,6.47
1066,44,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,2373.57,791.19,3,2024-02-28,Standard,"Accessory,Extended Warranty,Impulse Item",43.16
1066,44,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,2373.57,791.19,3,2024-07-13,Overnight,"Extended Warranty,Impulse Item",40.68
1067,49,Male,No,Tablet,SKU1002,3,Cancelled,Paypal,1729.21,247.03,7,2023-10-17,Standard,,0
1067,49,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,2023-12-30,Standard,"Impulse Item,Accessory,Impulse Item",81.55
1069,27,Male,No,Smartphone,SKU1001,5,Completed,Cash,145.25,20.75,7,2024-05-21,Standard,"Accessory,Extended Warranty",96.61
1070,30,Male,No,Smartphone,SKU1001,5,Cancelled,Paypal,62.25,20.75,3,2023-11-29,Standard,Extended Warranty,6.3
1071,54,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,7603.47,844.83,9,2024-06-17,Overnight,,0
1073,46,Female,No,Tablet,SKU1002,3,Completed,Cash,2223.27,247.03,9,2024-07-11,Standard,Accessory,8.66
1073,46,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,1976.24,247.03,8,2024-09-12,Express,Extended Warranty,46.38
1074,58,Male,No,Smartwatch,SKU1003,3,Completed,Cash,7603.47,844.83,9,2023-11-06,Standard,"Accessory,Impulse Item",58.95
1077,26,Male,No,Smartphone,SKU1004,2,Completed,Cash,2373.57,791.19,3,2023-12-26,Express,Extended Warranty,12.28
1077,26,Male,No,Tablet,SKU1002,3,Completed,Cash,1482.18,247.03,6,2024-05-14,Overnight,"Impulse Item,Accessory",12.86
1079,64,Male,No,Smartphone,SKU1001,5,Completed,Paypal,41.5,20.75,2,2023-10-24,Standard,Impulse Item,25.61
1079,64,Male,Yes,Smartphone,SKU1004,2,Completed,Paypal,3164.76,791.19,4,2024-09-12,Overnight,Impulse Item,8.16
1079,64,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,2373.57,791.19,3,2024-09-15,Overnight,"Extended Warranty,Accessory,Extended Warranty",101.06
1080,55,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,3164.76,791.19,4,2024-01-03,Standard,,0
1080,55,Female,No,Tablet,SKU1002,3,Completed,Credit Card,247.03,247.03,1,2024-08-18,Express,Impulse Item,16.65
1083,24,Male,No,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,2024-07-29,Overnight,,0
1085,74,Male,No,Smartphone,SKU1001,5,Completed,Cash,20.75,20.75,1,2023-10-11,Express,"Impulse Item,Impulse Item,Extended Warranty",91.36
1085,74,Male,No,Tablet,SKU1002,3,Completed,Cash,741.09,247.03,3,2024-05-02,Overnight,Extended Warranty,10.04
1086,76,Male,No,Smartphone,SKU1001,5,Completed,Paypal,166,20.75,8,2024-07-01,Overnight,Accessory,25.72
1089,45,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,3955.95,791.19,5,2024-08-09,Express,,0
1090,31,Male,No,Tablet,SKU1002,3,Cancelled,Debit Card,741.09,247.03,3,2024-05-04,Express,Extended Warranty,22.88
1091,22,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Credit Card,1689.66,844.83,2,2024-03-22,Express,"Impulse Item,Extended Warranty",14.52
1093,56,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,7120.71,791.19,9,2024-04-27,Express,Impulse Item,29.11
1094,65,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,20.75,20.75,1,2024-05-07,Overnight,,0
1096,20,Female,Yes,Smartphone,SKU1001,5,Completed,Paypal,41.5,20.75,2,2023-12-13,Standard,Accessory,27.89
1096,20,Female,No,Laptop,SKU1005,3,Completed,Cash,4639.6,463.96,10,2024-05-15,Overnight,"Extended Warranty,Extended Warranty",85.32
1097,19,Male,No,Tablet,SKU1002,3,Completed,Paypal,988.12,247.03,4,2024-03-25,Express,"Accessory,Accessory",51.12
1099,68,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,1582.38,791.19,2,2023-10-09,Standard,"Impulse Item,Extended Warranty,Impulse Item",100.12
1099,68,Female,No,Laptop,SKU1005,3,Cancelled,Paypal,1391.88,463.96,3,2024-05-31,Overnight,,0
1100,63,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,741.09,247.03,3,2024-02-29,Express,Extended Warranty,35.79
1100,63,Female,Yes,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,2024-05-19,Overnight,"Impulse Item,Impulse Item,Extended Warranty",48.78
1101,33,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,207.5,20.75,10,2023-10-09,Standard,"Accessory,Accessory",88.38
1101,33,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,791.19,791.19,1,2023-10-25,Overnight,Impulse Item,32.35
1101,33,Female,No,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-23,Overnight,"Impulse Item,Extended Warranty,Impulse Item",125.35
