movieId,score,rating,title,genre,genre_rating,category
1,215,3.9209302325581397,Toy Story (1995),Adventure,3.215229808197848,9
2,110,3.4318181818181817,Jumanji (1995),Adventure,3.215229808197848,13
8,8,2.875,Tom and Huck (1995),Adventure,3.215229808197848,68
10,132,3.496212121212121,GoldenEye (1995),Adventure,3.215229808197848,7
13,8,3.125,Balto (1995),Adventure,3.215229808197848,68
15,13,3.0,Cutthroat Island (1995),Adventure,3.215229808197848,41
29,38,4.0131578947368425,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure,3.215229808197848,20
44,46,2.5434782608695654,Mortal Kombat (1995),Adventure,3.215229808197848,56
53,2,5.0,Lamerica (1994),Adventure,3.215229808197848,42
60,34,3.235294117647059,"Indian in the Cupboard, The (1995)",Adventure,3.215229808197848,93
86,15,3.966666666666667,White Squall (1996),Adventure,3.215229808197848,18
95,84,3.0238095238095237,Broken Arrow (1996),Adventure,3.215229808197848,46
101,23,3.782608695652174,Bottle Rocket (1996),Adventure,3.215229808197848,96
107,26,3.326923076923077,Muppet Treasure Island (1996),Adventure,3.215229808197848,23
112,46,3.5434782608695654,Rumble in the Bronx (Hont faan kui) (1995),Adventure,3.215229808197848,56
126,7,2.0,"NeverEnding Story III, The (1994)",Adventure,3.215229808197848,82
146,3,3.3333333333333335,"Amazing Panda Adventure, The (1995)",Adventure,3.215229808197848,99
150,201,3.845771144278607,Apollo 13 (1995),Adventure,3.215229808197848,39
153,137,2.9160583941605838,Batman Forever (1995),Adventure,3.215229808197848,22
155,6,2.4166666666666665,Beyond Rangoon (1995),Adventure,3.215229808197848,54
158,62,2.806451612903226,Casper (1995),Adventure,3.215229808197848,14
160,57,2.8771929824561404,Congo (1995),Adventure,3.215229808197848,24
169,10,2.4,Free Willy 2: The Adventure Home (1995),Adventure,3.215229808197848,37
170,35,3.2285714285714286,Hackers (1995),Adventure,3.215229808197848,93
208,115,2.9130434782608696,Waterworld (1995),Adventure,3.215229808197848,58
